mmns,score
0.994352521,0.350306109
0.99944059,0.755304492
0.998797575,0.625864114
0.946843613,0.067607557
0.995535099,0.38919573
0.998894536,0.63972588
0.998085081,0.542765404
0.995156766,0.375753292
0.971108693,0.138390022
0.936629191,0.048905555
0.999514926,0.778151844
0.999395161,0.742904381
0.998879496,0.637413589
0.994260304,0.347933914
0.954386812,0.083889441
0.985609227,0.226856123
0.973154766,0.148274168
0.999104297,0.676746499
0.997674342,0.506511555
0.99190856,0.29720728
0.999288496,0.71640289
0.986481295,0.234511843
0.974846777,0.156516947
0.999493344,0.771077192
0.999493344,0.771077192
0.999390504,0.741754226
0.999927714,0.97428924
0.996223959,0.417805839
0.999533119,0.784028418
0.939694362,0.054153138
0.999533119,0.784028418
0.999537111,0.78542418
0.754832631,0.001126194
0.997493422,0.49264979
0.996541328,0.433285011
0.947564949,0.069117136
0.99224865,0.303437287
0.975721804,0.160973798
0.999135456,0.682784813
0.988203605,0.250170726
0.992436414,0.30685181
0.999298661,0.718882912
0.997917884,0.527406041
0.998974253,0.65258126
0.99940924,0.746438712
0.999550074,0.78955755
0.982778729,0.204374184
0.982778729,0.204374184
0.997231741,0.474019672
0.999375054,0.737255442
0.999375054,0.737255442
0.999367312,0.735590113
0.999367312,0.735590113
0.990889403,0.281632262
0.999911613,0.965351576
0.984981327,0.221692405
0.993287786,0.324116118
0.998186733,0.55264955
0.99690007,0.453137168
0.999153455,0.686618664
0.942128871,0.057992979
0.996987882,0.458127164
0.996987882,0.458127164
0.994648538,0.359459427
0.942128871,0.057992979
0.996918654,0.454299304
0.999862798,0.939664778
0.999003643,0.657673092
0.997968659,0.531922796
0.998552781,0.594246828
0.982041627,0.198821091
0.999231044,0.703080259
0.999467145,0.762876346
0.999058049,0.667533277
0.99950823,0.775755688
0.994594945,0.357650329
0.998929887,0.645225059
0.988975235,0.25865312
0.994116481,0.343686726
0.994116481,0.343686726
0.999822905,0.915170067
0.999822905,0.915170067
0.996612185,0.437142823
0.992662709,0.311344603
0.99501422,0.370889094
0.999130125,0.681886254
0.905989871,0.019025483
0.996288905,0.420992728
0.999683922,0.840056549
0.999142958,0.684498065
0.999358943,0.733631255
0.998123082,0.545904369
0.999880168,0.949105635
0.860379215,0.006697258
0.994568299,0.356739789
0.898522193,0.01561096
0.99736202,0.482795596
0.99792702,0.528172811
0.99736202,0.482795596
0.95369443,0.082260055
0.888015902,0.012256341
0.99985872,0.937112871
0.999220128,0.700803911
0.999850919,0.932536212
0.96855222,0.128326165
